"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"14 List 2024 22:17:51";" Transakcja Kupna";"O2-DB-9C9X8L";"T2-DB-5NNPPT";"-";"USD/JPY";"20 000 Jednost.";"156,347";"-";"-";"-";"-";"4,129903";"82 598,06";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:17:54";"Stop Loss";"O2-DB-9C9RKC";"T2-DB-5NNLEM";"-";"USD/JPY";"20 000 Jednost.";"156,330";"-";"-";"-";"-";"0,02616";"82 596,86";"6,80";"12 050,26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:17:41";"Zmodyfikowano Transakcję Sprzedaży";"O2-DB-9C9RKC";"T2-DB-5NNKX0";"-";"USD/JPY";"20 000 Jednost.";"156,343";"-";"156,330";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:10:50";"Transakcja Sprzedaży";"O2-DB-9C9RKC";"T2-DB-5NNKX0";"-";"USD/JPY";"20 000 Jednost.";"156,343";"-";"-";"-";"-";"4,135083";"82 701,66";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:08:17";"Stop Loss";"O2-DB-9C8SYN";"T2-DB-5NNKMG";"-";"USD/JPY";"37 000 Jednost.";"156,300";"-";"-";"-";"-";"0,026179";"152 931,73";"289,62";"12 043,46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:08:17";"Stop Loss";"O2-DB-9C8SXQ";"T2-DB-5NNKMF";"-";"USD/JPY";"20 000 Jednost.";"156,300";"-";"-";"-";"-";"0,026179";"82 665,80";"149,74";"11 753,84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:07:57";"Zmodyfikowano Stop Loss";"O2-DB-9C8SYN";"-";"O2-DB-9C9QC4";"USD/JPY";"37 000 Jednost.";"156,001";"-";"156,300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:07:40";"Zmodyfikowano Stop Loss";"O2-DB-9C8SXQ";"-";"O2-DB-9C9Q9P";"USD/JPY";"20 000 Jednost.";"156,014";"-";"156,300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:05:43";"Zmodyfikowano Stop Loss";"O2-DB-9C8SYN";"-";"O2-DB-9C9QC4";"USD/JPY";"37 000 Jednost.";"156,001";"-";"156,200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:05:30";"Zmodyfikowano Stop Loss";"O2-DB-9C8SXQ";"-";"O2-DB-9C9Q9P";"USD/JPY";"20 000 Jednost.";"156,014";"-";"156,200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:04:51";"Zmodyfikowano Stop Loss";"O2-DB-9C8SXQ";"-";"O2-DB-9C9Q9P";"USD/JPY";"20 000 Jednost.";"156,014";"-";"156,150";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:04:39";"Zmodyfikowano Stop Loss";"O2-DB-9C8SYN";"-";"O2-DB-9C9QC4";"USD/JPY";"37 000 Jednost.";"156,001";"-";"156,150";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:04:08";"Zmodyfikowano Stop Loss";"O2-DB-9C8SYN";"-";"O2-DB-9C9QC4";"USD/JPY";"37 000 Jednost.";"156,001";"-";"156,100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:03:55";"Zmodyfikowano Stop Loss";"O2-DB-9C8SXQ";"-";"O2-DB-9C9Q9P";"USD/JPY";"20 000 Jednost.";"156,014";"-";"156,100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:03:05";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"156,080";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:02:37";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SXQ";"T2-DB-5NMT3N";"-";"USD/JPY";"20 000 Jednost.";"156,014";"-";"156,080";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 21:02:12";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:28:50";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"156,200";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:28:26";"Zmodyfikowano Take Profit";"O2-DB-9C8SXQ";"-";"O2-DB-9C97EP";"USD/JPY";"20 000 Jednost.";"156,014";"-";"-";"156,200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:27:07";"Stop Loss";"O2-DB-9C96NC";"T2-DB-5NN6ME";"-";"USD/JPY";"37 000 Jednost.";"155,750";"-";"-";"-";"-";"0,026109";"151 964,84";"149,74";"11 604,10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:26:42";"Zmodyfikowano Stop Loss";"O2-DB-9C96NC";"-";"O2-DB-9C98NV";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,750";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:22:56";"Zmodyfikowano Take Profit";"O2-DB-9C96NC";"-";"O2-DB-9C9771";"USD/JPY";"37 000 Jednost.";"155,905";"-";"-";"155,600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:22:56";"Zmodyfikowano Stop Loss";"O2-DB-9C96NC";"-";"O2-DB-9C98NV";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,780";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:20:19";"Zmodyfikowano Stop Loss";"O2-DB-9C96NC";"-";"O2-DB-9C98NV";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,800";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:19:24";"Zmodyfikowano Stop Loss";"O2-DB-9C96NC";"-";"O2-DB-9C98NV";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,830";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:18:23";"Zmodyfikowano Take Profit";"O2-DB-9C96NC";"-";"O2-DB-9C9771";"USD/JPY";"37 000 Jednost.";"155,905";"-";"-";"155,700";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:18:23";"Zmodyfikowano Stop Loss";"O2-DB-9C96NC";"-";"O2-DB-9C98NV";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,850";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:17:32";"Zmodyfikowano Transakcję Sprzedaży";"O2-DB-9C96NC";"T2-DB-5NN4E5";"-";"USD/JPY";"37 000 Jednost.";"155,905";"-";"155,860";"155,800";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:11:33";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:11:11";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"156,040";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 17:01:07";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SXQ";"T2-DB-5NMT3N";"-";"USD/JPY";"20 000 Jednost.";"156,014";"-";"-";"156,040";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 16:59:26";"Zmodyfikowano Transakcję Sprzedaży";"O2-DB-9C96NC";"T2-DB-5NN4E5";"-";"USD/JPY";"37 000 Jednost.";"155,905";"-";"-";"155,800";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 16:53:02";"Transakcja Sprzedaży";"O2-DB-9C96NC";"T2-DB-5NN4E5";"-";"USD/JPY";"37 000 Jednost.";"155,905";"-";"-";"-";"-";"4,110254";"152 079,39";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 15:45:57";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SXQ";"T2-DB-5NMT3N";"-";"USD/JPY";"20 000 Jednost.";"156,014";"-";"-";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 15:45:46";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 15:03:03";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"156,040";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 15:02:48";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8SXQ";"T2-DB-5NMT3N";"-";"USD/JPY";"20 000 Jednost.";"156,014";"-";"-";"156,040";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:51:09";" Transakcja Kupna";"O2-DB-9C8SYN";"T2-DB-5NMT43";"-";"USD/JPY";"37 000 Jednost.";"156,001";"-";"-";"-";"-";"4,136777";"153 060,74";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:50:42";" Transakcja Kupna";"O2-DB-9C8SXQ";"T2-DB-5NMT3N";"-";"USD/JPY";"20 000 Jednost.";"156,014";"-";"-";"-";"-";"4,136356";"82 727,12";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:39:45";"Stop Loss";"O2-DB-9C8NNX";"T2-DB-5NMS9P";"-";"USD/JPY";"37 000 Jednost.";"156,100";"-";"-";"-";"-";"0,026285";"153 331,36";"143,94";"11 454,36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:39:07";"Zmodyfikowano Stop Loss";"O2-DB-9C8NNX";"-";"O2-DB-9C8RNV";"USD/JPY";"37 000 Jednost.";"155,952";"-";"156,100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:38:49";"Stop Loss";"O2-DB-9C8NKG";"T2-DB-5NMS6Q";"-";"USD/JPY";"20 000 Jednost.";"156,100";"-";"-";"-";"-";"0,02628";"82 883,82";"69,38";"11 310,42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:38:48";"Zmodyfikowano Stop Loss";"O2-DB-9C8NKG";"-";"O2-DB-9C8RRB";"USD/JPY";"20 000 Jednost.";"155,968";"-";"156,100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:38:13";"Zmodyfikowano Stop Loss";"O2-DB-9C8NNX";"-";"O2-DB-9C8RNV";"USD/JPY";"37 000 Jednost.";"155,952";"-";"156,050";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:38:02";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8NKG";"T2-DB-5NMPF6";"-";"USD/JPY";"20 000 Jednost.";"155,968";"-";"156,050";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 14:37:28";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C8NNX";"T2-DB-5NMPHF";"-";"USD/JPY";"37 000 Jednost.";"155,952";"-";"156,000";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:38:00";" Transakcja Kupna";"O2-DB-9C8NNX";"T2-DB-5NMPHF";"-";"USD/JPY";"37 000 Jednost.";"155,952";"-";"-";"-";"-";"4,141727";"153 243,89";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:34:24";" Transakcja Kupna";"O2-DB-9C8NKG";"T2-DB-5NMPF6";"-";"USD/JPY";"20 000 Jednost.";"155,968";"-";"-";"-";"-";"4,141556";"82 831,12";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:32:35";" Zamknięcie Transakcji";"O2-DB-9C8NHH";"T2-DB-5NMPDQ";"O2-DB-9C8MW2";"USD/JPY";"50 000 Jednost.";"156,007";"-";"-";"-";"-";"0,026286";"207 103,85";"42,06";"11 241,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:10:46";" Transakcja Kupna";"O2-DB-9C8MW2";"T2-DB-5NMNX9";"-";"USD/JPY";"50 000 Jednost.";"155,975";"-";"-";"-";"-";"4,14334";"207 167,00";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:02:12";" Zamknięcie Transakcji";"O2-DB-9C8MLE";"T2-DB-5NMNNZ";"O2-DB-9C7LKE";"USD/JPY";"20 000 Jednost.";"155,866";"-";"-";"-";"-";"0,026305";"82 831,72";"196,24";"11 198,98";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 13:00:49";" Zamknięcie Transakcji";"O2-DB-9C8MK4";"T2-DB-5NMNN1";"O2-DB-9C7SQ7";"USD/JPY";"30 000 Jednost.";"155,891";"-";"-";"-";"-";"0,026302";"124 262,61";"317,20";"11 002,74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"14 List 2024 10:16:29";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C7SQ7";"T2-DB-5NLZWJ";"-";"USD/JPY";"30 000 Jednost.";"155,489";"-";"155,700";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"1387915572";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-40,61";"10 685,54";"-";"-";"-";"-";"-";"-40,61";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BKRVE";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26 000,00";"3,54652%";"30,99";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BJZX7";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30 000,00";"5,59388%";"-56,97";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BB04B";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34 000,00";"5,59388%";"-64,57";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-DB-9C7SQ7";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30 000,00";"3,54652%";"35,76";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-DB-9C7LKE";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20 000,00";"3,54652%";"23,84";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BS5RZ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22 000,00";"5,59388%";"-41,78";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BJQLQ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20 000,00";"3,54652%";"23,84";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-D9-9BH1F6";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6 000,00";"3,54652%";"7,15";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-DB-9C7SP3";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36 000,00";"3,54652%";"42,91";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 23:02:10";"Koszty Utrzymania Pozycji";"O2-DB-9C4T5Y";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22 000,00";"5,59388%";"-41,78";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 22:58:47";" Transakcja Kupna";"O2-DB-9C7SQ7";"T2-DB-5NLZWJ";"-";"USD/JPY";"30 000 Jednost.";"155,489";"-";"-";"-";"-";"4,130294";"123 908,82";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 22:57:31";" Transakcja Kupna";"O2-DB-9C7SP3";"T2-DB-5NLZVM";"-";"USD/JPY";"36 000 Jednost.";"155,468";"-";"-";"-";"-";"4,130093";"148 683,34";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 21:16:58";" Zamknięcie Transakcji";"O2-DB-9C7P8R";"T2-DB-5NLX1E";"O2-DB-9C7LKE";"USD/JPY";"16 000 Jednost.";"155,520";"-";"-";"-";"-";"0,026286";"66 068,35";"11,36";"10 726,15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 20:38:48";" Zamknięcie Transakcji";"O2-DB-9C7MBZ";"T2-DB-5NLV8L";"O2-DB-9C4QW4";"USD/JPY";"20 000 Jednost.";"155,434";"-";"-";"-";"-";"0,026281";"82 522,70";"500,92";"10 714,79";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 20:23:26";" Transakcja Kupna";"O2-DB-9C7LKE";"T2-DB-5NLTHX";"-";"USD/JPY";"36 000 Jednost.";"155,493";"-";"-";"-";"-";"4,126957";"148 570,45";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 20:03:10";"Stop Loss";"O2-DB-9C7K6Q";"T2-DB-5NLSG8";"-";"USD/JPY";"36 000 Jednost.";"155,585";"-";"-";"-";"-";"0,026284";"148 702,46";"18,92";"10 213,87";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 20:01:59";" Zmodyfikowano Transakcję Kupna";"O2-DB-9C7K6Q";"T2-DB-5NLS7S";"-";"USD/JPY";"36 000 Jednost.";"155,565";"-";"155,590";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"13 List 2024 19:57:58";" Transakcja Kupna";"O2-DB-9C7K6Q";"T2-DB-5NLS7S";"-";"USD/JPY";"36 000 Jednost.";"155,565";"-";"-";"-";"-";"4,132127";"148 756,57";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
