"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"28 List 2024 16:07:52";"Zmodyfikowano Stop Loss";"O2-DC-9D0101";"-";"O2-DC-9D02GC";"USD/JPY";"80 000 Jednost.";"151,518";"-";"151,480";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 16:06:47";"Zmodyfikowano Transakcję Sprzedaży";"O2-DC-9D0101";"T2-DC-5P78R9";"-";"USD/JPY";"80 000 Jednost.";"151,518";"-";"151,490";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 15:36:42";"Transakcja Sprzedaży";"O2-DC-9D0101";"T2-DC-5P78R9";"-";"USD/JPY";"80 000 Jednost.";"151,518";"-";"-";"-";"-";"4,107238";"328 579,04";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 15:32:18";"Stop Loss";"O2-DC-9D00L5";"T2-DC-5P78LC";"-";"USD/JPY";"80 000 Jednost.";"151,510";"-";"-";"-";"-";"0,026831";"328 466,80";"42,93";"29 552,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 15:32:05";"Zmodyfikowano Transakcję Sprzedaży";"O2-DC-9D00L5";"T2-DC-5P78E4";"-";"USD/JPY";"80 000 Jednost.";"151,530";"-";"151,510";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 15:29:49";"Transakcja Sprzedaży";"O2-DC-9D00L5";"T2-DC-5P78E4";"-";"USD/JPY";"80 000 Jednost.";"151,530";"-";"-";"-";"-";"4,106717";"328 537,36";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 15:24:20";" Zamknięcie Transakcji";"O2-DC-9D00EC";"T2-DC-5P788M";"O2-DC-9CZZDW";"USD/JPY";"80 000 Jednost.";"151,602";"-";"-";"-";"-";"0,026841";"328 770,56";"73,01";"29 509,44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 14:57:57";"Zmodyfikowano Transakcję Sprzedaży";"O2-DC-9CZZDW";"T2-DC-5P77FV";"-";"USD/JPY";"80 000 Jednost.";"151,636";"-";"151,630";"-";"-";"-";"-";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 14:53:52";"Transakcja Sprzedaży";"O2-DC-9CZZDW";"T2-DC-5P77FV";"-";"USD/JPY";"80 000 Jednost.";"151,636";"-";"-";"-";"-";"4,112548";"329 003,84";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 14:48:42";"Stop Loss";"O2-DC-9CZY10";"T2-DC-5P77C4";"-";"USD/JPY";"80 000 Jednost.";"151,654";"-";"-";"-";"-";"0,026846";"328 914,88";"15,03";"29 436,43";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
